Wallet,Amount
0x023ab8e20a4682d315daef4c91db96bd77934d66,0
0x0435ea391ad8b2b5cbf85c31bf9a97d4c28c2657,907
0x05555b1a39d6545b2483eb29805ad8b00369972b,202
0x08aba4a72d866c1fc1dda72508e0cd47388304ac,"2,711"
0x0ca6cadb6a8ca4199788b9a060c3285fe7b897fd,"1,109"
0x0e25ecdd1d70f57fceb053bfb84913581179cb7d,"1,003"
0x1297ad486549a430d59d9d5f99ed7c216b6e77dd,453
0x1341df844780b66af4ccc98ae0f34be87eabe1d5,50
0x14faa112a14b70328d2ca17102aafe398f0c369c,"5,041"
0x2499bdf18e33eb830bcf0d1c1e47b7e0cca07071,150
0x25ca93c584756d674d6fe6d1e241a89791b18df3,907
0x2937da97bcd51bb1d18dab3460c3920c48d7a472,402
0x327b9dee1830f8201efa751fd96f7b1ad0b300a1,242
0x36125234dd6c7d0a01dcadc67e79e061d405098e,"1,008"
0x37a6156e4a6e8b60b2415af040546cf5e91699bd,50
0x4c38c5cab41aa562f4d34b4003bfe44c5c33aa10,403
0x4d2a353dcd9b25a241382241c9b9a27b7cd08f20,605
0x51cd245699780ad2be18fdf254d6c519adf971a6,705
0x541f9ca20d448dc53681077eb54492117b67e3a1,"1,209"
0x5426f039c05b65dba6ce6e775f1bc24cd057e51a,200
0x6363f3da9d28c1310c2eabdd8e57593269f03ff8,595
0x644d52d0f7af51b3c485eba1c4c6c196f278442a,555
0x6b9410449200579cf66e641df17d681f71537a7e,601
0x6ef7db9d344b754047f1cb666b91369102b92d76,232
0x72b7448f470d07222dbf038407cd69cc380683f3,"2,015"
0x7338afb07db145220849b04a45243956f20b14d9,"8,058"
0x73831e7c600f48cebbbff957b466be8e5c087f34,"7,555"
0x7798ba9512b5a684c12e31518923ea4221a41fb9,151
0x7f1156aa350982560653fed03ef0e285ef878b75,0
0x82a89f2595159015f2eb4318221c838fe4e63280,61
0x86362a4c99d900d72d787ef1bdda38fd318aa5e9,195
0x8bed9a9882a999748d145decee3b3ab748ff9ed9,"1,512"
0x8e84ee2fb242ef42e5313fc2d132a3d52e179c18,"1,260"
0x9571738fb9888c4d0f5ea84beb8477ebb026f739,251
0xab777eb4cbbb7341541158b60952572539d72f8d,201
0xb1839ea781ed5574801dd6460cf634d81ad06844,604
0xb457bcd0f3ec75a550b03f1af7ea8134e380fddd,347
0xb598bbe4f02a11dd2c84b49d29f59351bdaea3f9,352
0xb967a030259b6f4f5f6d477f9ccc08e719b36b57,"3,021"
0xba15e9b644685cb845af18a738abd40c6bcd78ed,"4,521"
0xbeb69e7ac7f59bdb79b89fc94ed862c6b39f3c00,"3,021"
0xc0c44b69d91ea0b26f5be8afedc18a8cee281ad7,605
0xc80a38405f929b92bd889f3e5d438c342e498aca,"1,503"
0xca038a19d1c9473e3adbb2b95328bbd4393b176c,249
0xd428962767ea96300c6f2b0119f7b7a17e36890c,"3,025"
0xd791427e372186e90637caf1d6d6afb054beec7a,"2,258"
0xdda42f12b8b2ccc6717c053a2b772bad24b08cbd,120
0xdf766a7014f1f5ff6f5f2e2c77e606528e04a8a6,655
0xe596607344348723aa3e9a1a8551577dcca6c5b5,302
0xff2c13a2d71a4d3b70f4086dc17b4aa6c075efde,"2,013"
